Current Club,season,goals_per_90_overall,assists_per_90_overall,average_rating_overall
sevilla fc,2023/2024,0.08787234042553191,0.06042553191489362,6.550212765957447
shakhtar donetsk,2023/2024,0.10857142857142858,0.10047619047619047,5.444285714285714
shamrock rovers,2023/2024,0.05533333333333333,0.0,0.0
sheffield united,2023/2024,0.0375,0.012499999999999999,5.2612499999999995
sheffield wednesday,2023/2024,0.03333333333333333,0.02259259259259259,6.355555555555555
sheppey united,2023/2024,0.10933333333333334,0.02266666666666667,0.0
sheriff,2023/2024,0.1886842105263158,0.12921052631578947,3.6744736842105263
shrewsbury town,2023/2024,0.08236842105263158,0.07736842105263157,3.397631578947368
slavia praha,2023/2024,0.20666666666666667,0.18625,5.66375
slough town,2023/2024,0.087,0.0,0.0
slovan bratislava,2023/2024,0.15657894736842107,0.1318421052631579,3.436578947368421
solihull moors,2023/2024,0.15571428571428572,0.0,0.0
southampton,2023/2024,0.12391304347826088,0.1252173913043478,5.858260869565218
southend united,2023/2024,0.0,0.0,0.0
sparta praha,2023/2024,0.3742105263157895,0.10026315789473683,6.217105263157895
sporting braga,2023/2024,0.5596,0.1092,5.8364
sporting cp,2023/2024,0.13,0.021666666666666667,5.639444444444445
ssc farul,2023/2024,0.025500000000000002,0.0,0.0
stevenage,2023/2024,0.23684210526315788,0.0913157894736842,3.142105263157895
stockport county,2023/2024,0.34060606060606063,0.22393939393939397,3.7045454545454546
stoke city,2023/2024,0.1024,0.07,5.9744
strasbourg,2023/2024,0.08818181818181818,0.04954545454545455,5.963181818181818
struga,2023/2024,0.03666666666666667,0.0,5.916666666666667
sturm graz,2023/2024,0.07485714285714286,0.04285714285714286,5.978
stuttgart,2023/2024,0.17999999999999997,0.15625,6.2129166666666675
sunderland,2023/2024,0.17444444444444446,0.745,5.990555555555556
sutton united,2023/2024,0.10153846153846154,0.09128205128205129,3.5843589743589743
swansea city,2023/2024,0.15863636363636366,0.07681818181818181,6.0659090909090905
swift hesperange,2023/2024,0.030526315789473683,0.0,4.697894736842105
swindon town,2023/2024,0.32217391304347825,0.07260869565217391,3.4113043478260865
tallinna fc flora,2023/2024,0.0,0.0,0.0
tamworth,2023/2024,0.0,0.0,0.0
the new saints,2023/2024,0.06875,0.0,0.0
torino,2023/2024,0.07782608695652174,0.043043478260869565,6.7956521739130435
torquay united,2023/2024,0.0,0.0,0.0
tottenham hotspur,2023/2024,0.09833333333333333,0.15666666666666668,6.659166666666667
toulouse,2023/2024,0.07461538461538463,0.11512820512820514,5.548205128205128
tranmere rovers,2023/2024,0.11374999999999999,0.10425,3.62025
tre penne,2023/2024,0.07866666666666666,0.0,0.0
ud las palmas,2023/2024,0.13333333333333333,0.0575,5.93
udinese,2023/2024,0.026521739130434784,0.019130434782608695,5.196086956521739
union berlin,2023/2024,0.19355555555555554,0.07088888888888889,6.161111111111111
union saint-gilloise,2023/2024,0.08904761904761906,0.0642857142857143,4.88047619047619
valencia cf,2023/2024,0.06083333333333333,0.14916666666666667,5.23375
valmiera / bss,2023/2024,0.11941176470588237,0.0,3.6641176470588235
villarreal,2023/2024,0.085,0.049772727272727274,6.515681818181818
walsall,2023/2024,0.16837837837837838,0.09135135135135135,4.385675675675676
watford,2023/2024,0.1281818181818182,0.21045454545454545,6.145454545454545
wealdstone,2023/2024,0.3727272727272727,0.0,0.0
welling united,2023/2024,0.0,0.0,0.0
werder bremen,2023/2024,0.122,0.08839999999999999,6.4276
west bromwich albion,2023/2024,0.13238095238095238,0.08238095238095237,5.9123809523809525
west ham united,2023/2024,0.12682926829268293,0.07780487804878049,6.374146341463414
weston-super-mare,2023/2024,0.0,0.0,0.0
whitby town,2023/2024,0.19230769230769232,0.060000000000000005,0.0
wigan athletic,2023/2024,0.1291891891891892,0.08324324324324324,3.1383783783783783
woking,2023/2024,0.07157894736842105,0.0,0.0
wolfsburg,2023/2024,0.0890909090909091,0.03636363636363637,6.5
wolverhampton wanderers,2023/2024,0.172,0.1105,6.565
worksop town,2023/2024,0.1846153846153846,0.038461538461538464,0.0
worthing,2023/2024,0.2122222222222222,0.0,0.0
wrexham,2023/2024,0.16142857142857142,0.2988095238095238,6.288571428571428
wycombe wanderers,2023/2024,0.0837142857142857,0.05657142857142857,2.9771428571428573
yeovil town,2023/2024,0.174,0.042666666666666665,0.0
york city,2023/2024,0.04473684210526316,0.019473684210526317,0.0
young boys,2023/2024,0.05285714285714286,0.04857142857142857,5.653333333333333
zorya,2023/2024,0.10764705882352942,0.06235294117647059,0.0
zrinjski,2023/2024,0.11317073170731709,0.05585365853658537,2.687560975609756
äœukariäki,2023/2024,0.058333333333333334,0.05555555555555555,0.0
å½algiris,2023/2024,0.07333333333333333,0.02638888888888889,3.0675000000000003
